Structure [idcode]	Name	Basic_pKa_greater5	Acidic_pKa_lower9	CNS-Kind	Molweight	cLogP	cLogS	cLogD (pH=7.4)	H-Acceptors	H-Donors	Total Surface Area	Molecular Flexibility	Molecular Complexity	Non-H Atoms	Binned Molweight	Smiles	
en^\F@@DND`I@ghZ\bfdQTtTQffTTQbRfRRrn~Zjijjjjj`BJjh@@@	Aliskiren	9.57		non-CNS	551.766	3.3561	-4.349	1.18	9	4	453.42	0.73944	0.78706	39	550 <= x < 575	CC(C)C(CC(C(CC(C(C)C)C(NCC(C)(C)C(N)=O)=O)O)N)Cc(cc1)cc(OCCCOC)c1OC	
ffm@`@@HR[YugYfeMVffZYjjhALSHUj@	Alitretinoin		4.76	non-CNS	300.440	5.8207	-3.478	3.4156	2	1	262.43	0.40842	0.66755	22	300 <= x < 325	CC1(C)C(/C=C/C(/C)=C/C=C/C(/C)=C/C(O)=O)=C(C)CCC1	
deth@DxYAIeeZxYZYjX@@	Allopurinol			non-CNS	136.114	-3.0509	-1.543	-3.1884	5	2	99.61	0.10432	0.80147	10	125 <= x < 150	O=C1N=CN=C2NNC=C12	
ffsA@@@YEHiDdbhTidjBuXLRujjjijjZj`@@	Allylestrenol			non-CNS	300.484	4.8944	-4.82	4.8944	1	1	235.78	0.33472	0.86118	22	300 <= x < 325	CC(CC1)(C(CC2)C(CC3)C1C1C3=CCCC1)C2(CC=C)O	
fi{h`@DXEWhMILsLo]kKZrTVeFuUSMATEYQ@I@@	Alogliptin	9.47		non-CNS	339.398	1.0117	-3.878	-1.0576	7	1	261.16	0.46558	0.83968	25	325 <= x < 350	CN(C(C=C(N1Cc(cccc2)c2C#N)N(CCC2)CC2N)=O)C1=O	
ffsI@@DFmdBSLrl|jl|DhpZiruTtEHSQQ@@@	Alosetron	6.48		non-CNS	294.357	1.8051	-2.35	1.7059	5	1	225.5	0.30409	0.88723	22	275 <= x < 300	Cc1c(CN(CCc2c3c(cccc4)c4n2C)C3=O)nc[nH]1	
eg`ZDB@LBCHemI`@cZPNdKiCIEELheDcEMEiECI`pyDUUSSALEEUTuTTGb@@	Alpelisib	2.81	7.79	non-CNS	441.477	3.8412	-5.727	3.8409	7	2	309.19	0.52262	0.82494	30	425 <= x < 450	CC(C)(C(F)(F)F)c1nccc(-c2c(C)nc(NC(N(CCC3)[C@@H]3C(N)=O)=O)s2)c1	
fmwqA@BBCxDPNHRYVvufWgUZLEIMYiiZ`XJJjh@@	Alpidem	5.05		CNS	404.340	5.0431	-6.919	5.0395	4	0	309.24	0.54661	0.86725	27	400 <= x < 425	CCCN(CCC)C(Cc1c(-c(cc2)ccc2Cl)nc(cc2)n1cc2Cl)=O	
ffsHB@AJSdDPdrmrlvkMNZ]Fj\pACTE@lDP@@	Alprazolam	5.01		CNS	308.771	2.6195	-5.896	2.6174	4	0	230.41	0.24383	0.86592	22	300 <= x < 325	Cc1nnc2n1-c(ccc(Cl)c1)c1C(c1ccccc1)=NC2	
ebZRDDDAOBnhl`H`FHDgj\bbbRLbRQTtrRdRRabsGBNLAAUUTsUUUA@@@@@	Ambenonium			CNS	537.573	-2.4706	-3.552	-2.4708	6	2	420.68	0.61001	0.73783	36	525 <= x < 550	CC[N+](CC)(CCNC(C(NCC[N+](CC)(CC)Cc(cccc1)c1Cl)=O)=O)Cc(cccc1)c1Cl	
ffcqb@FJ}hu`AFRJQQEJIUQIKCNRKVjjjYZjjhDKP	Amdinocillin	7.92	3.3	non-CNS	325.432	1.3688	-1.991	-2.7288	6	1	232.69	0.39323	0.87147	22	325 <= x < 350	CC(C)(C1C(O)=O)SC(C2/N=C/N3CCCCCC3)N1C2=O	
dcuLPNwBh@bOCIEHjdeSUUP@@	Amifostine	10.71	2.06	non-CNS	214.225	-6.9869	1.278	-12.329	5	4	156.24	0.76993	0.43944	12	200 <= x < 225	NCCCNCCSP(O)(O)=O	
eaUZK@@DKHmnPJEODbfcgohZV\bbTTrbRTVfrbTrbVTLrQ`WTrNKUUUUUUUUUUUUUPVDHgBtad\`TrUTzPtfUrAbJqP@	Amikacin	9.8		non-CNS	585.605	-8.5032	0.233	-10.9	18	13	395.89	0.31638	0.96242	40	575 <= x < 600	NCC[C@@H](C(N[C@H](C[C@@H]([C@H]([C@@H]1O)O[C@H]([C@@H]([C@H]2O)O)O[C@H](CN)[C@H]2O)N)[C@@H]1O[C@H]([C@@H]([C@H]1N)O)O[C@H](CO)[C@H]1O)=O)O	
doh`DiivwTHcHheEBhUJz@Hif`@@	Amiloride	7.29		non-CNS	229.631	-1.5887	-2.441	-1.5887	8	4	161	0.30525	0.71863	15	225 <= x < 250	NC(N)=NC(c(nc1Cl)c(N)nc1N)=O	
fi{``@I@QdTrRRRbbbbTRJZyzt[UUUP@PPD@@@	Amineptine	9.17	4.41	CNS	337.461	3.3899	-4.429	0.40252	3	2	277.66	0.41323	0.74806	25	325 <= x < 350	OC(CCCCCCNC(c1c(CC2)cccc1)c1c2cccc1)=O	
dg]L@DlEwHheDdhkImPPLP@@	Aminohippurate		3.69	non-CNS	194.189	-0.4489	-1.472	-5.1472	5	3	148.85	0.5901	0.51585	14	175 <= x < 200	Nc(cc1)ccc1C(NCC(O)=O)=O	
fhiq@@DDXCHhhheEEeR\|Eji`j@`@@	Aminophenazone			non-CNS	231.298	0.3023	-1.05	0.30225	4	0	180.37	0.43351	0.77373	17	225 <= x < 250	CC(N(C)N(C1=O)c2ccccc2)=C1N(C)C	
eohXLD@GBCJ`JpRlrJJIJIFKQQQQIKGYbSJiXzBBbfihJhHh`@@	Amiodarone	8.47		non-CNS	645.309	6.2801	-8.015	5.1776	4	0	381.02	0.59532	0.89504	31	625 <= x < 650	CCCCc1c(C(c(cc2I)cc(I)c2OCCN(CC)CC)=O)c(cccc2)c2o1	
fikpR@A^sAEg@BLddLRbJRbvTTVUjoUhJ@ijjjb`f`@	Amisulpride	8.28		CNS	369.484	0.6656	-2.851	0.50476	7	2	278.21	0.52441	0.83521	25	350 <= x < 375	CCN1C(CNC(c(c(OC)c2)cc(S(CC)(=O)=O)c2N)=O)CCC1	
fj}`@@@YIDThhhheDbzOliKUSP@PPD@@@	Amitriptyline	9.76		CNS	277.410	4.4056	-3.674	2.043	1	0	234.09	0.32015	0.80899	21	275 <= x < 300	CN(C)CCC=C(c1c(CC2)cccc1)c1c2cccc1	
ffcPP@IQ@INTfYfUuUnXIUc^Z@H@Hij`@@	Amlexanox		4.3	non-CNS	298.297	3.0633	-6.142	-0.033108	6	2	215.67	0.22946	0.87957	22	275 <= x < 300	CC(C)c(cc1)cc2c1Oc(nc(c(C(O)=O)c1)N)c1C2=O	
f`aQ`@DX@pRSJsvoTxuSMUU@@@	Amobarbital		7.48	CNS	226.275	1.2968	-2.587	1.2625	5	2	177.14	0.6008	0.67785	16	225 <= x < 250	CCC(CCC(C)C)(C(NC(N1)=O)=O)C1=O	
fi{qB@FZKdDPdrmj{Jv|mNRTFL@@AP@UUP@@@	Amodiaquine	9.61		non-CNS	355.868	4.2018	-4.454	1.3739	4	2	275.71	0.48589	0.80395	25	350 <= x < 375	CCN(CC)Cc(cc(cc1)Nc2c(ccc(Cl)c3)c3ncc2)c1O	
ffsqB@ARJhDPdrmrljj}NZ]DnZpACUTTDA@@@	Amoxapine	8.83		CNS	313.787	3.3035	-4.355	1.8616	4	1	231.21	0.24084	0.84323	22	300 <= x < 325	Clc(cc1)cc2c1Oc(cccc1)c1N=C2N1CCNCC1	
elZ\FH@LDbhDKNahP@cIICEDdeEDXTmELdhlcHk`XTUj`hJhji``hhH@@	Amprenavir			non-CNS	505.634	2.2566	-3.742	2.2566	9	3	379.56	0.58694	0.80188	35	500 <= x < 525	CC(C)CN(CC(C(Cc1ccccc1)NC(OC1COCC1)=O)O)S(c(cc1)ccc1N)(=O)=O	
dgH@DjprJIQEQIMqvuRp@P@@	Amrinone			non-CNS	187.201	-1.0079	-1.272	-1.0092	4	2	145.67	0.38025	0.63126	14	175 <= x < 200	NC1=CC(c2ccncc2)=CNC1=O	
el^XI@@A`A@hbechT\bbbbbbVbRreVbfbQRXTt\lRjZ~AZ@H`BXjjjZjhJh|cTzWtAP@	Amrubicin	7.3	8.15	non-CNS	483.472	0.8393	-4.618	0.67535	10	5	327.4	0.18926	1.027	35	475 <= x < 500	CC([C@@](C[C@@H]1O[C@@H](C[C@@H]2O)OC[C@H]2O)(Cc(c(O)c2C(c3c4cccc3)=O)c1c(O)c2C4=O)N)=O	
fcqb@LVkAB`AFRRGQISKJJJJIKZVluzn^uj@Hj@@@@@@@@	Amsacrine	8.45		non-CNS	393.466	3.8016	-6.506	2.7192	6	2	287	0.3961	0.8267	28	375 <= x < 400	COc(cc(cc1)NS(C)(=O)=O)c1Nc1c(cccc2)c2nc2ccccc12	
dazD@HADeUVjh@@	Amyl nitrite			non-CNS	117.147	2.3114	-1.467	2.3114	3	0	108.6	0.70079	0.53648	8	100 <= x < 125	CCCCCON=O	
f`iqA@IJmxDPRHRYfuu]`eZlzBBJidh@@	Anagrelide			non-CNS	256.092	1.221	-3.668	-0.94707	4	1	167.1	0.10358	0.83766	16	250 <= x < 275	O=C(C1)N=C2N1Cc(c(Cl)c(cc1)Cl)c1N2	
ff}h@@@AbfnQJQPiQZQHsJRbuzh@JjneH@@	Anastrozole			non-CNS	293.373	2.6107	-4.166	2.6107	5	0	246.78	0.54919	0.75474	22	275 <= x < 300	CC(C)(c1cc(Cn2ncnc2)cc(C(C)(C)C#N)c1)C#N	
fegP`@OS@aIeiY]_ue\wgAzMjj`hHj@B`@@	Anileridine	8.88		CNS	352.476	3.2426	-3.699	1.7505	4	1	285.08	0.50213	0.72591	26	350 <= x < 375	CCOC(C1(CCN(CCc(cc2)ccc2N)CC1)c1ccccc1)=O	
f`qa`@D@x{HhheKDeeQakMUL@EP@@	Aniracetam			CNS	219.239	1.5197	-1.945	1.5197	4	0	169.1	0.53656	0.6593	16	200 <= x < 225	COc(cc1)ccc1C(N(CCC1)C1=O)=O	
fbmp@@@XXeLLjsobe`iruUPP@@P@@@	Antazoline	9.24		non-CNS	265.359	2.0152	-2.944	0.16528	3	1	219.29	0.54363	0.65788	20	250 <= x < 275	C(C1=NCCN1)N(Cc1ccccc1)c1ccccc1	
eeWRDF@IGEojf`IABPpdNY@VPedLbdLRTrRrbbTQrTRVTRTL`baeaWSwqMMT@@APPLUUU@AU@P@@@	Antrafenine	7.04		non-CNS	588.550	6.389	-6.434	6.2316	6	1	413.93	0.45818	0.88286	42	575 <= x < 600	O=C(c(cccc1)c1Nc1c(ccc(C(F)(F)F)c2)c2ncc1)OCCN(CC1)CCN1c1cc(C(F)(F)F)ccc1	
edVZB@@DFMNa`FcklbbbbbTRQbVRbUbTRwBfegfUTwtKURET@PCQTuTa@@@	Apixaban			non-CNS	459.505	1.6048	-4.317	1.6048	9	1	340.93	0.38933	0.93257	34	450 <= x < 475	COc(cc1)ccc1-n1nc(C(N)=O)c(CCN2c(cc3)ccc3N(CCCC3)C3=O)c1C2=O	
ejQRLN@AHdjcKI`ICzPAdHYAFPqdBYCHhdlhhhemEDeBehmHiJFCGJfmch@JjjijhDBjjb`@@	Aprepitant		6.59	CNS	534.431	3.9633	-5.092	3.9608	7	2	356.27	0.51559	0.84897	37	525 <= x < 550	CC(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)OC1OCCN(CC(N2)=NNC2=O)C1c(cc1)ccc1F	
efQVE@@DKHmhZPJEODbfcgolbbTTrbRTVfrbTrbVTLi`WTrNKUUUUUUUUUUUUT@@@	Arbekacin	9.99		non-CNS	552.623	-7.1968	-0.641	-9.7835	16	11	387.88	0.5374	0.93769	38	550 <= x < 575	NCCC(C(NC(CC(C(C1O)OC2OC(CN)CCC2N)N)C1OC(C(C1N)O)OC(CO)C1O)=O)O	
fkQa@IZHgHLPhQdTTVbRTRbtNRTrSNJMl|DAUUUMU@@H@@	Arbidol	9.87	6.01	non-CNS	477.422	4.1689	-4.75	1.6104	5	1	327.66	0.45583	0.9583	29	475 <= x < 500	CCOC(c(c1c2CN(C)C)c(CSc3ccccc3)n(C)c1cc(Br)c2O)=O	
elZVJH@LEGEhTXDKCk`@cIIBhhheDeCDcDdhmUCHdfigejBhFhjjjffhh@@	Argatroban	11.79	3.09	non-CNS	508.642	0.153	-3.47	-4.1732	11	5	374.52	0.54393	0.89477	35	500 <= x < 525	CC(CC1)CC(C(O)=O)N1C(C(CCCN=C(N)N)NS(c1c2NCC(C)Cc2ccc1)(=O)=O)=O	
fduA`@@H]dTRbrbTTcHsWcA]yjZjfjjh@@	Arglabin			non-CNS	246.305	1.4788	-2.783	1.4788	3	0	176.48	0.15569	0.9389	18	225 <= x < 250	CC1(CCC(C2OC3=O)C3=C)OC11C2C(C)=CC1	
egh\DD@FKAdc`H`bHrJJJYPiYIIJIJYJ\BFV]S[WPQAUUUPAELQ@@@	Aripiprazole	7.46		CNS	448.392	4.4351	-5.144	4.1024	5	1	334.27	0.51892	0.79548	30	425 <= x < 450	O=C(CC1)Nc2c1ccc(OCCCCN(CC1)CCN1c1cccc(Cl)c1Cl)c2	
fjcAP@@PxkNRIRJQJJUSZdxHuoNCUUUUUUUT@@	Artemether			non-CNS	298.377	2.9012	-3.25	2.9012	5	0	209.4	0.37152	0.89693	21	275 <= x < 300	CC(CCC1C2C)C(CC3)C11OOC3(C)OC1OC2OC	
fb}aB@GBADILk[KJztYhugIs@AUUPPA@@@	Asenapine	7.29		CNS	285.773	4.9405	-4.906	4.6893	2	0	206.52	0.093192	0.87866	20	275 <= x < 300	CN(CC12)CC2c(cc(cc2)Cl)c2Oc2c1cccc2	
edVRHH@AMCN`PIAIe]YfuYwuYWZFMKHbfngoh@Ji``hjj@BbH@@@	Astemizole	8.73		non-CNS	458.579	5.1461	-4.565	3.7763	5	1	361.03	0.39192	0.83438	34	450 <= x < 475	COc1ccc(CCN(CC2)CCC2Nc2nc(cccc3)c3n2Cc(cc2)ccc2F)cc1	
elzvN@@LIKAdRPDABg`xraHQLaHRHrhQDaHQLaLQDaHRLaDQDRHSL`^enWY_VjijjjB`hjX@h@j`Z@@@@	Atazanavir			non-CNS	704.866	3.3709	-6.074	3.3704	13	5	555.21	0.5631	0.8534	51	700 <= x < 725	CC(C)(C)C(C(NC(Cc1ccccc1)C(CN(Cc(cc1)ccc1-c1ncccc1)NC(C(C(C)(C)C)NC(OC)=O)=O)O)=O)NC(OC)=O	
flea@@@`rQQQQJIEKZUoQhJHB@bBBJ@@	Atomoxetine	9.8		CNS	255.360	3.1197	-3.127	0.71485	2	1	219.02	0.34587	0.63634	19	250 <= x < 275	Cc(cccc1)c1OC(CCNC)c1ccccc1	
eiSTJH@AIaeh^QPICHhdlhhhdheDdhXcmEDlmJFEKNcbVX@JZj`j`Zb`hHXP@@@	Atorvastatin		4.31	non-CNS	558.648	5.6217	-6.92	2.5494	7	4	431.16	0.49983	0.95969	41	550 <= x < 575	CC(C)c1c(C(Nc2ccccc2)=O)c(-c2ccccc2)c(-c(cc2)ccc2F)n1CCC(CC(CC(O)=O)O)O	
fewAb@@iJBHRYWYWYf{uhsQluGN@BjjZfX@H@@@	Atovaquone		5.53	non-CNS	366.843	5.0743	-6.192	5.0149	3	1	266.25	0.37501	0.88167	26	350 <= x < 375	OC(C(c1c2cccc1)=O)=C(C(CC1)CCC1c(cc1)ccc1Cl)C2=O	
edZ^LH@ECHdbkgbLc`HcHhhddTheEECLhemLdpHEDLlCCAAEPDDuUU@@DPUT@@	Avanafil	5.54		non-CNS	483.958	1.4906	-3.746	1.4847	10	3	364.38	0.45128	0.8444	34	475 <= x < 500	COc(ccc(CNc1nc(N2C(CO)CCC2)ncc1C(NCc1ncccn1)=O)c1)c1Cl	
fcIB@K^Stp@cIEEEDdhmCdTeDeIv`iro]@D@LQUL@@HBAX	Axitinib			non-CNS	386.478	3.4441	-4.87	3.4434	5	2	299.93	0.46347	0.81719	28	375 <= x < 400	CNC(c(cccc1)c1Sc(cc1)cc2c1c(/C=C/c1ncccc1)n[nH]2)=O	
fhiIP@DXxHDc^CdTRbfaTVUNZltuUUUL@@	Azacitidine			non-CNS	244.206	-2.8639	-1.438	-2.8639	9	4	163.61	0.43233	0.80548	17	225 <= x < 250	NC(N=CN1C(C2O)OC(CO)C2O)=NC1=O	
ffsP@@@ErQQJJZJYIKXtDip\iJDDdEPTTQ@@@	Azatadine	7.91		CNS	290.409	3.7052	-3.143	3.0747	2	0	232.82	0.15186	0.88404	22	275 <= x < 300	CN(CC1)CCC1=C1c2ncccc2CCc2c1cccc2	
fluxbBLTDZs`qR@HMJ^rQQQJJJIHrSeV|F`dbjJXT@@	Azathioprine		8.62	non-CNS	277.268	-0.6232	-2.443	-0.64722	9	1	194.85	0.30186	0.81387	19	275 <= x < 300	Cn(cn1)c(Sc2ncnc3c2[nH]cn3)c1[N+]([O-])=O	
feghRBFJcencV|@HsK^rQRJHiQJsQJIKXYrPyuUUSLuHHE@@@	Azidocillin		3.29	non-CNS	375.408	0.6989	-1.82	-3.3763	9	2	260.68	0.42492	0.90142	26	375 <= x < 400	CC(C)(C1C(O)=O)SC(C2NC(C(c3ccccc3)N=[N+]=[N-])=O)N1C2=O	
ebvtC@@AhpDIMDbfkbVYS\bbTTTtbRfababRTbfbbfnrbLufrHHmokUUUUUUUUUUUUUUUUUP@@	Azithromycin	9.57		non-CNS	748.992	1.6569	-3.094	-0.51571	14	5	562.27	0.55244	0.97979	52	725 <= x < 750	CCC(C(C)(C(C(C)N(C)CC(C)CC(C)(C(C(C)C(C1C)OC(CC2(C)OC)OC(C)C2O)OC(C2O)OC(C)CC2N(C)C)O)O)O)OC1=O	
e`\ZFH@FEHngmCKOFk`@cIEHhbeDkMDhhehmE`qqIL\}}UUULsU@pTMTP@@	Azlocillin		3.49	non-CNS	461.498	0.3123	-2.187	-3.6027	11	4	312.78	0.44142	0.92528	32	450 <= x < 475	CC(C)(C1C(O)=O)SC(C2NC(C(c3ccccc3)NC(N(CCN3)C3=O)=O)=O)N1C2=O	
fcwhI@BJ]F\DXxXJ}`BJaFRRVJKYSQJIIRKQ`buVjZififjfhDKH	Aztreonam		3.5	non-CNS	435.437	-2.6616	-1.45	-11.94	13	4	284.43	0.52202	0.84897	28	425 <= x < 450	CC(C(C1=O)NC(/C(/c2csc(N)n2)=N\OC(C)(C)C(O)=O)=O)N1S(O)(=O)=O	
feg`pBH@QxL\peGYEMDeeEDhhilTnBST\v`@jfZf`@BDb@@	Acenocoumarol		5.09	non-CNS	353.329	2.359	-4.182	0.74143	7	1	256.48	0.45566	0.87774	26	350 <= x < 375	CC(CC(c(cc1)ccc1[N+]([O-])=O)C(C(Oc1c2cccc1)=O)=C2O)=O	
gJX`DBdru@@	Acetohydroxamic acid		8.94	non-CNS	75.0667	-0.8135	-0.734	-0.82575	3	2	61.32	0.060496	0.69315	5	75 <= x < 100	CC(NO)=O	
facA`@@H[dTrbrTVTTTTnRUiiff@bJ`ALSHUj@	Acitretin		4.77	non-CNS	326.434	5.6182	-4.233	3.2275	3	1	283.34	0.41809	0.7268	24	325 <= x < 350	C/C(/C=C/c(c(C)c1)c(C)c(C)c1OC)=C\C=C\C(\C)=C\C(O)=O	
ed\ZAH@Dmk`XXDLNAIG@`O@hbHqDQDQDRDaLbLbD`XQDqCko`VjjjifjjjA@h@@@	Adefovir dipivoxil	4.73	0.37	non-CNS	501.475	1.2514	-5.059	1.2491	13	1	374.31	0.66441	0.78531	34	500 <= x < 525	CC(C)(C)C(OCOP(COCCn1c2ncnc(N)c2nc1)(OCOC(C(C)(C)C)=O)=O)=O	
dk\d@Dq]@\bbbbfJZ]MjjZe`@	Aminophylline		7.82	CNS	180.167	-0.3112	-1.481	-0.45249	6	1	128.71	0.014758	0.79602	13	175 <= x < 200	CN(c1c(C(N2C)=O)[nH]cn1)C2=O	
e`T\NH@FEBmCK@die`@cIEHhbeDmhihcEDlm`qqH\}UUULtuU@pQT@@@	Bacampicillin	7.23		non-CNS	465.525	1.2902	-2.832	0.96959	10	2	330.74	0.4417	0.92059	32	450 <= x < 475	CCOC(OC(C)OC(C(C(C)(C)SC1C2NC(C(c3ccccc3)N)=O)N1C2=O)=O)=O	
fe{pp@EZJACLcfdwL{kJ{ZlJPXmA@S@AMTp@@@	Balsalazide		3.06	non-CNS	357.321	2.0244	-3.875	-2.3111	9	4	267.32	0.54136	0.72855	26	350 <= x < 375	OC(CCNC(c(cc1)ccc1N=Nc(cc1)cc(C(O)=O)c1O)=O)=O	
fekqP@LIrAFoQrJIQPiQKQSZHrJLuT@QUMUUDKD@@	Bambuterol	9.52		non-CNS	367.444	1.4866	-2.077	-0.6393	8	2	289.66	0.53216	0.76455	26	350 <= x < 375	CC(C)(C)NCC(c1cc(OC(N(C)C)=O)cc(OC(N(C)C)=O)c1)O	
el^TL@@AO@HT\dTRRVbRRRabbbRRvrxdBbjZN~^AhHHjjji@H@Bb`@@@	Bazedoxifene	9.35		non-CNS	470.611	5.6968	-4.791	4.0022	5	2	372.18	0.48503	0.89091	35	450 <= x < 475	Cc1c(-c(cc2)ccc2O)n(Cc(cc2)ccc2OCCN2CCCCCC2)c(cc2)c1cc2O	
eohTJ@@DF@O@bjlbbbbbRRTTubJRfRDL\rn^Zj`jAjFj`@`@@@	Benazepril		3.84	non-CNS	424.495	0.8715	-3.877	-3.0015	7	2	330.7	0.51539	0.84556	31	400 <= x < 425	CCOC(C(CCc1ccccc1)NC(CCc(cccc1)c1N1CC(O)=O)C1=O)=O	
fmwpR`LBKAB\`BGAGY@\aNPrRPjJIYIQJQIRU`mVZmZ`hH`e`jHHTh@@	Bendroflumethiazide			non-CNS	421.419	1.6564	-3.508	1.6466	7	3	263.84	0.42065	0.89423	27	400 <= x < 425	NS(c(c(C(F)(F)F)c1)cc2c1NC(Cc1ccccc1)NS2(=O)=O)(=O)=O	
fcpb@CIZJhICHhdlideDeeEEBeQ`Xmzo\@DuUUUL@AP@@	Benperidol	7.35		CNS	381.450	3.3802	-5.191	3.104	5	1	288.75	0.45345	0.82315	28	375 <= x < 400	O=C(CCCN(CC1)CCC1N(c(cccc1)c1N1)C1=O)c(cc1)ccc1F	
