CAS number	chemical name	name IUPAC	merck index ref	literature ref	patent date	Launched date	FDA approved	code ATC	solubility	Additional info type	Additional info detail	blood brain barrier	administration	absorption tissue	protein binding	metabolism tissue	metabolism metabolite	daily dose	side effect name	target type	target name	therapeutic class name	therapeutic effect name	Structure [idcode]	Synonyms	T max	protein binding rate	bioavailability	half life time	absorption rate	distribution volume	Smiles	
32872-77-1	Butoconazole nitrate	1-[4-(4-chlorophenyl)-2-(2,6-dichlorophenyl)sulfanylbutyl]imidazole nitric acid	MI, 13, 1525	Acta Obstet Gynecol Scand. 1985 64(3):241-4	16.08.1983	1986	Yes	G01AF15		Chemical classification (according ATC code)	Imidazole derivative		Topical					100	Hypersensitivity reactions, Mucosal irritation, Urinary troubles			Infectiology, Metabolism	Antibacterial, Antifungal	fkoq`bCQWOYpQA@`TPNHWI~rJJIJZEJIIPiXYQdhi[vBBbjjT@IhbGJ@@ !BhAHE\BbKv~`Gx@R@JHE_|_hBHoX`BR@JpC\z@RKuTaLCF_e}HDb}RKuH@hb}rcB~wxb}U{t						0 - 5		[O-][N+](O)=O.Clc1ccc(CCC(Cn2cncc2)Sc(c(Cl)ccc2)c2Cl)cc1	
19774-82-4	Amiodarone hydrochloride	(2-butyl-1-benzofuran-3-yl)-[4-[2-(diethylamino)ethoxy]-3,5-diiodophenyl]methanone hydrochloride	MI, 12, 504	Vasc Health Risk Manag. 2010 Aug 9 6:465-72	26.04.1966	1962	Yes	C01BD01 	CHCl3, MeOH, H2O	Therapeutic classification (according ATC code)	Antiarrhythmic, class III		Oral	GI tract	Plasmatic proteins			200	Blurred vision, Bradycardia, Extrapyramidal syndrome, Hepatic enzyme levels elevated, Hyperthyroidism, Hypothyroidism, Interstitial pulmonary fibrosis, Nausea, Photophobia, Photosensitization, Taste alteration, Tremor			Cardiovascular	Antianginal, Antiarrhythmic	e`XXLL@GBCJ`JpRl~bLbbbRbQbtTTTRRqvCDfURqtDEEMSPUPQQ@@@ !BVnC`ydnDMOlZxIiPPIX@idoDRtRt~u~YZbA@ea@Zxqbt~rk``AH_^pX_x`ehnDRHIH@owWRKuguWbNP		3 - 7	50		480 - 2400			CCCCc1c(C(c(cc2I)cc(I)c2OCCN(CC)CC)=O)c(cccc2)c2o1.Cl	
51-05-8	Procaine hydrochloride	2-(Diethylamino)ethyl 4-aminobenzoate hydrochloride	MI, 12, 7937	Drugs R D. 2004 5(2):108-9	13.02.2006	1905	Yes	N01BA02	H2O, EtOH	Chemical classification (according ATC code)	Esters of aminobenzoic acid		Parenteral		Plasmatic proteins	Liver	Para-aminobenzoic acid, diethylaminoalcohol		Blurred vision, Dizziness, Hypersensitivity reactions, Nausea, Tinnitus	Ion channel	Voltage-gated sodium channel	Neuromuscular	Local anesthetic	fdqPb@M^a`DP`lljoJjLuAAEU@@@ !Bn_G~_u\}bEtw`dcBk|woX`}bOvw`oxdBwoXb}]qwP`			6		0.1 - 0.2			CCN(CC)CCOC(c(cc1)ccc1N)=O.Cl	
1397-89-3	Amphotericin B		MI, 12, 627	J Antimicrob Chemother. 2002 Feb 49 Suppl 1:7-10	13.10.1959	1958	Yes	J02AA01	DMF			Yes	Parenteral					35	Anorexia, Diarrhoea, Dizziness, Headache, Rash, Tachycardia, Tinnitus, Vomiting			Infectiology	Antibacterial, Antifungal	ghNFAD@@OpA@Hl^NbsxRiVdvXlNw@\bbRbbaTttrrTVbrTVRdRrTRRrbbIbTTreZjsX}^ZjjjjjfjZijfjijjVjjjjilaATDpbaFDxURCE\RIBeJfjAivTzKh^Uy\LdLkdbiTFhL@ !BnNHx{_zpd~Ghd^]VIw~LL^]d~Ghb^bNIvGg_xpQywGhoyOazHgg\^]QzK~ct^bayw~LH^]YzHghh^]c@ggT^bazJGgT^]kg~LF^bizHgDd^]cAGg_xpazK{hozOmC~\H^]a~tx{\]bd~xG\\]l}Gpo{OaytxgT^]`|					24		0.1 - 0.44	C[C@H]([C@H]([C@@H]([C@@H]1O)N)O)O[C@H]1O[C@H](C[C@@H]([C@@H]([C@H](C1)O)C(O)=O)O[C@@]1(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(O[C@@H](C)[C@@H]1C)=O)O)O)O)O)O)O)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](C)[C@H]1O	
53-41-8	Androsterone	(3R,5S,8R,9S,10S,13S,14S)-3-hydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,14,15,16-tetradecahydrocyclopenta[a]phenanthren-17-one	MI, 12, 680	J Clin Endocrinol Metab. 1993 Jan 76(1):112-6	14.05.1990			Not yet attributed	MeOH, CHCl3, AcOEt, DMF										Aggressiveness			Endocrinology	Anabolic	fjc@`@@ErJJQIFYJSKXgIJlyNVjjjjjjjnHQHJJQdzY`@ !BZf}`i^Lgc~h@oE@[B^HwXb}jHK~_z`}rMw~Wt`BhCp_X`}JHIHOP								C[C@](CC1)([C@@H](CC2)[C@H](CC3)[C@H]1[C@@](C)(CC1)[C@@H]3C[C@@H]1O)C2=O	
121-59-5	Carbarsone	[4-(carbamoylamino)phenyl]arsonic acid	MI, 13, 1793	Poult Sci. 1979 Jan 58(1):76-80	26.01.1960			Not yet attributed		Veterinary use	Poultry											Infectiology	Antiamebic, Antiprotozoal	dg]B`EnDppaLddlRVR`ru@AS@@@ !B_xQ`KE_HJdtaFkohAg@zVjopAdtaBBie^@								NC(Nc(cc1)ccc1[As](O)(O)=O)=O	
37661-08-8	Bacampicillin hydrochloride	4-Thia-1-azabicyclo[3.2.0]heptane-2-carboxylicacid, 6-[[(2R)-2-amino-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-,1-[(ethoxycarbonyl)oxy]ethyl ester, hydrochloride	MI, 12, 961	Pharmacotherapy. 1982 Nov-Dec 2(6):313-21	27.06.1979	1980	Yes	J01CA06	H2O	Chemical classification (according ATC code)	Penicillin with extended spectrum		Oral				Ampicillin	1200	Diarrhoea, Eosinophilia, Hypersensitivity reactions, Nausea, Rash, Seizure			Infectiology, Metabolism	Antibacterial	ehT\ND@NMJcKGHlem`Hb@HpJJQQEJI[QSQFJIYXc`QR{zjjjYijjA`bhHpaDDbR@@ !BH_VcqvBekH]o^Zndoe|@obTo@KzdiER[{~fdJrAZIR|zhJRk[~eTf{eoHEjKaGj`YJnjXN|YHMh`NjToiJoozP					8			CCOC(OC(C)OC([C@@H](C(C)(C)S[C@@H]1[C@@H]2NC([C@@H](c3ccccc3)N)=O)N1C2=O)=O)=O.Cl	
58-85-5	Biotin	5-[(3aS,4S,6aR)-2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl]pentanoic acid	MI, 12, 1272	Am J Clin Nutr. 1981 Sep 34(9):1967-74.	03.10.1944		Yes	A11HA05	H2O										Hypersensitivity reactions			Metabolism		f`qQb@FBt{p@aJYUW]lTEJjjjZZlPVER@@ !BWNa\I{AUnPbpNd@zkqX@QQrgiVCpe~fiVCoIkQD								OC(CCCC[C@@H]([C@H]1N2)SC[C@@H]1NC2=O)=O	
603-50-9	Bisacodyl	(pyridin-2-ylmethanediyl)dibenzene-4,1-diyl diacetate	MI, 12, 1282	Arzneimittelforschung. 1988 Apr 38(4):570-4	14.01.1975	Launched	Yes	A06AB02	CH3COCH3, EtOH				Oral			Intestine	Active (BHPM or (bis (p-hydroxyphenyl)-pyridyl-2-methane)	10	Diarrhoea, Hypersensitivity reactions, Hypokalemia			Gastroenterology	Laxative	fmw`P@K@Qv^QQZIKJJJIIKEJBdfiVmP@U@@@EL@@@ !BnMR`U^d@^MSi@JBUnMRxUJBU^KSi@NCeAMR_jiZ^KPY`Af@hIV`eVJvMPPeRYXEVGrp								CC(Oc1ccc(C(c(cc2)ccc2OC(C)=O)c2ncccc2)cc1)=O	
964-52-3	Moxisylyte hydrochoride	4-[2-(Dimethylamino)ethoxy]-5-isopropyl-2-methylphenyl acetate hydrochloride	MI, 12, 6374	Fundam Clin Pharmacol. 1998 12(4):377-87	02.11.1954	1965		C04AX10	EtOH, H2O				Oral	GI tract		Liver	Desacetyl moxisylyte, N-demethyl desacetylmoxisylyte		Diarrhoea, Nausea			Cardiovascular	Erectile dysfunction treatment, Vasodilator	fjeab@DpqXDQ`RbtTRrTQRbmMPDEUUP@@ !Bb~kWw_{_u|KH_Tc|g}H_{@RGw~_zrKuWO\c]m}hO_{_M}thwP								CC(C)c1cc(OC(C)=O)c(C)cc1OCCN(C)C.Cl	
54063-56-8	Suloctidil	2-(octylamino)-1-(4-propan-2-ylsulfanylphenyl)propan-1-ol	MI, 12, 9160	Thromb Res Suppl. 1983 4:53-8	14.10.1980			C04AX19	EtOH										Hepatic enzyme levels elevated, Hepatotoxicity			Neuromuscular	Antiplatelet, Vasodilator	fn}aB@KZ@DYHhhd\ihldddJUAPEUUUTHTcH@ !BROw~@Oxb@Jw@o@BbOvHX`BbOw~ox`Br@O~hBaBbCwHPoC}b@KH@x`BbOt								CCCCCCCCN[C@H](C)[C@H](c(cc1)ccc1SC(C)C)O	
78-44-4	Carisoprodol	(1-Methylethyl)carbamic acid 2-[[(aminocarbonyl)oxy]-methyl]-2- methylpentyl ester)	MI, 12, 1889	South Med J. 2012 Nov 105(11):619-23	17.05.1960	1959	Yes	M03BA02	EtOEt, AcOEt	Chemical classification (according ATC code)	Carbamic acid ester		Oral	GI tract		Liver	Active (Meprobamate)	1400	Dizziness, Drowsiness, Epigastric misery, Hypersensitivity reactions, Nausea, Orthostatic hypotension, Rash, Tachycardia			Central Nervous System	Analgesic, Antipyretic, Muscle relaxant, Sedative	fdqPP@LQ@`p\bbRTTaVRcUUUUSPYP@ !B_g|HO[\}|Kq~_pb}|OtwO[A}W^|lGy_wxHo[twBGq~_p		0.5			2			CCCC(C)(COC(N)=O)COC(NC(C)C)=O	
957-68-6	Cephalosporanic acid, 7-amino	3-(acetyloxymethyl)-7-amino-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid	MI, 12, 453	Artif Cells Blood Substit Immobil Biotechnol. 2007 35(4):345-58	27.08.1964			Not yet attributed											Diarrhoea, Nausea			Infectiology, Metabolism	Antibacterial	fdyQR@LBtZs``BLdTRbRVTqaNTYUUULtthaBP@ !B~MR_Zad@`F[i`I~Z@A[HXu~jfP@\JOlk{vixUI~jArnYp@								CC(OCC(CS[C@@H]1[C@@H]2N)=C(C(O)=O)N1C2=O)=O	
01.05.2610	Chicago sky blue 6B	tetrasodium (6E)-4-amino-6-[[4-[4-[(2Z)-2-(8-amino-1-oxo-5,7-disulfonatonaphthalen-2-ylidene)hydrazinyl]-3-methoxyphenyl]-2-methoxyphenyl]hydrazinylidene]-5-oxonaphthalene-1,3-disulfonate		Behav Pharmacol. 2013 Dec 24(8):653-8				Not yet attributed		Pharmacological tool	Vital stain											Central Nervous System		g`LE`DDBNFRhryAhBCAXBQDdsEj[]aty]n@AA`HsAEXHOZE{P_ZG{Pp\dx]v{ctwi_S~gIIKEEheDiMGeEDdUDeLleEEihmDiMH@AHt^BfrxbIVoRXlmA@E@mCAAD@QSA@DDRrp@@A@TfT@ !BZmLKAltcRbsTxZTLVgOROCJ\eIEE]JTLVgLr{KJ\b}e|hdu\mHYECBzkGKHz|sK\SZNdDVPQ]llr{IRQNoLrwEQQENGZ\}KlMQM|gPYtkCWRGCisIPsTt^PQtfqZttTLeAETd]I\vdmZ\ySNeRpF}IS~^_Ob@{c\}Cp@WGC\								COc(cc(cc1)-c(cc2)cc(OC)c2/N=N/c2ccc(c(S([O-])(=O)=O)cc(S([O-])(=O)=O)c3N)c3c2O)c1/N=N/c(ccc(c1c(c(S([O-])(=O)=O)c2)N)c2S([O-])(=O)=O)c1O.[Na+].[Na+].[Na+].[Na+]	
35543-24-9	Buflomedil hydrochloride	4-pyrrolidin-1-yl-1-(2,4,6-trimethoxyphenyl)butan-1-one hydrochloride	MI, 12, 1498	Int Angiol. 2009 Jun 28(3):170-4	25.11.1971			C04AX20	H2O				Oral	GI tract		Liver		600	Headache, Nausea, Tremor, Vertigo			Cardiovascular	Vasodilator	fn}`R@@pDjHHaAYefU_yWSjmZBbJJjjH@@ !ByZeH_zbHJHW]}ROwH@oyuws~_tbBrGuw__z@ROw~_x`BYawoTPk@CD		1.5 - 4			2 - 3		1.06 - 1.58	COc1cc(OC)c(C(CCCN2CCCC2)=O)c(OC)c1.Cl	
93793-83-0	Roxatidine Acetate hydrochloride	[2-oxo-2-[3-[3-(piperidin-1-ylmethyl)phenoxy]propylamino]ethyl] acetate hydrochloride	MI, 13, 8354	Drugs. 1991 Aug 42(2):240-60	11.03.1981	1986		A02BA06					Oral	GI tract		Liver, Small intestines, Serum	Desacetyl metabolite	150	Constipation, Diarrhoea, Dizziness, Headache, Nausea, Rash			Gastroenterology	Antiulcer	fekPR@LE`qQ`QFAJIIIQEQIPjIJJQsZjij@BjjH@@ !Befw~zy\c|Ctw@dclSwwpo]]BmnhO@|}]tIWP{`MsqWwO{`etOwOM]CnBwOM_\`@		1 - 3			6			CC(OCC(NCCCOc1cc(CN2CCCCC2)ccc1)=O)=O.Cl	
138-92-1	Betazole hydrochloride	2-(1H-Pyrazol-3-yl)ethanamine dihydrochloride	MI, 13, 1187	Br Med J. May 15, 1965  1(5445): 1287-1288	22.10.1985		Yes	V04CG02											Drowsiness, Headache	GPCR	Histamine H2 receptor	Gastroenterology	Diagnostic	deG@PDrPbHbL@tRaUMMUH@@ !B~]EeMYclFi|XxpC~Mwtw@c]}								NCCc1n[nH]cc1.Cl.Cl	
81098-60-4	Cisapride	4-amino-5-chloro-N-[1-[3-(4-fluorophenoxy)propyl]-3-methoxypiperidin-4-yl]-2-methoxybenzamide	MI, 12, 2377	J Dig Dis. 2011 Jun 12(3):147-56	13.04.1983	1988	Yes	A03FA02	MeOH	Therapeutic classification (according ATC code)	Propulsive		Oral	GI tract	Plasmatic proteins		Norcisapride	30	Diarrhoea, Hypersensitivity reactions, Tachycardia	GPCR	Serotonin 4 (5-HT4) receptor	Gastroenterology	Gastroprokinetic	e`T\BD@BMBiE@a`HczPrJJKIJKZJIHiIJIKL\IEWOPPEMUUUUP@QBEb\P@ !BZMr~pOC]^}sp@d`BRMvT]Q`Bon}hPkx@jMwHHk{_of@X[\`mItJ~{zb]ob|XG[zorEv~Kr`BJIwHS\bB|Bt		1 - 2	97.5	40 - 50	10			CO[C@H](CN(CCCOc(cc1)ccc1F)CC1)[C@H]1NC(c(c(OC)c1)cc(Cl)c1N)=O	
50-22-6	Corticosterone	(11beta)-11,21-dihydroxypregn-4-ene-3,20-dione	MI, 12, 2601	PLoS One. 2011 6(5):e20198	06.04.1943			Not yet attributed	Organic solvents										Bone weakness, Insomnia			Endocrinology	Anti-inflammatory, Immunosuppressant	fig@P@@VZOHhdiheCEdhdYjLT[pTeZZjjjjjZjnLPijFghFIP@ !BYtHWO_y`ItIgpoy`Eswgpo{@ytK~XA_]zDIgPf_BEsvOIP~Zg`@cnO{`JAH_TcDP								C[C@](C[C@@H]1O)([C@@H](CC2)[C@H](CC3)[C@H]1[C@@](C)(CC1)C3=CC1=O)[C@H]2C(CO)=O	
68-19-9	Cyanocobalamin		MI, 13, 10074	Molecules. 2010 Apr 30 15(5):3228-59	21.11.1950	1950	Yes	B03BA01		Reference, Therapeutic use	Arzneimittelforschung. 2012 Jul,62(7):324-9, Analgesic		Oral	Ileum				1	Acne, Hypersensitivity reactions, Urine coloration			Metabolism	Analgesic	gkiMpxPHHE@Hd~BkTYMNoXXoUyrMAaqyBQxbYMgre@[CGp@SI{IEDhiMDhiieeDiDheDdmCEhdhYbjhhhlthh]ImEEMeMDedn@aitfKGR[MV\~ZoVZmjmjjjijZjijiiffijjfijijfjjjjA@jijGAA\DHTaQIdWQKIfTEJYiaeNU`hNIEH !B|`YEgzjZcGeggffJdxfNgzejnFe\UxjwbjZrWXZEUGfA^GeQQZjsokF_aWiAZhQEXEyf[eFMak^JfFjZmDEz_iYxVUZebeEyRznjhUfFcXeMe{e\RU~JekIUlUAJnjNnTYaJdUIAedII^Vnp^UjShgEYXyyVUdyTVkexWXep^Wj\SkiYYGnyWhfqTgF^Uey~^Ze]hTixViAy[eFyU{VfbVqNPZEEaEe^YeaJaVAYPyeCfDjXZjeC`		1						C[C@H](CNC(CC[C@](C)([C@H]1CC(N)=O)C(/C(/C)=C(/[C@@H](CCC(N)=O)C2(C)C)\N=C2/C=C(/[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O)\N=C2/C(/C)=C2/[C@@H](CCC(N)=O)[C@]3(C)CC(N)=O)=N[C@H]1[C@]3(C)N2[Co+]C#N)=O)OP([O-])(O[C@H]([C@@H](CO)O[C@@H]1n2c(cc(C)c(C)c3)c3nc2)[C@H]1O)=O	
50370-12-2	Cefadroxil	(6R,7R)-7-{[(2R)-2-amino-2-(4-hydroxyphenyl)acetyl]amino}-3-methyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid	MI, 12, 1963	Drugs. 1986 32 Suppl 3:1-16	23.05.1978	1980	Yes	J01DB05		Chemical classification (according ATC code)	First-generation cephalosporin		Oral	GI tract				2000	Diarrhoea, Eosinophilia, Hypersensitivity reactions, Nausea, Neutropenia, Pruritus, Rash, Vomiting			Infectiology, Metabolism	Antibacterial	fi{qR@LBcjsoC@DYHheDdeiiYhdlSeFM{UUULsT@EIbDI@h@ !BRCwWO_yPO{~_s^}POxTYC^}g|TFqAyuwuH_[i_yFREhLCyeLPF{|BEpOezWzCy		1 - 1.5	15 - 20		1.6 - 2	80 - 90		CC(CS[C@@H]1[C@@H]2NC([C@@H](c(cc3)ccc3O)N)=O)=C(C(O)=O)N1C2=O	
59865-13-3	Cyclosporin A		MI, 12, 2821	Br J Pharmacol. 2012 Mar 165(5):1235-45	26.08.1981	1983	Yes	L04AD01	EtOH, CHCl3, EtOEt				Oral		Lipoproteins	Liver		250	Hepatic enzyme levels elevated, Hypertension, Nephrotoxicity, Paresthesia, Uricemia			Immunology	Immunosuppressant	gjmWPX@@DCCqtAJhpy}Qt`G@QI|qAduxBi\yEEEEMEEEEGihhmDhdiiimBXeEMMMCMheLihh]EEM\ii|mUUUSTuUUUMKUUUTsUUUMMUUSTuUQcABBdJILdJHeLr[JCDJ|rAB` !Bf_kKZPmruK~I~QRb^{K_{XyBw~FNRmZtw~IzmRuMH{toxgYEJ[K_zXzxvdK_{XFuK~I~RRb_dTjQrmckKVkmmb[kZRMyJw~NOyzuHttoygeKIK~ymMUJtT[Ro~Pd~[Lo{GYOK~I{G]NJORuPMyDwkkQmrh^T\fnrfb[mUQMJxw~fEnJe^d\oygJpw~vNRuFpvtS_xWfwK~E{XVsK~ZCoN			90		1 - 20			CC[C@@H](C(N(C)CC(N(C)[C@@H](CC(C)C)C(N[C@@H](C(C)C)C(N(C)[C@@H](CC(C)C)C(N[C@@H](C)C(N[C@H](C)C(N(C)[C@@H](CC(C)C)C(N(C)[C@@H](CC(C)C)C(N(C)[C@@H](C(C)C)C(N(C)[C@H]1[C@@H]([C@H](C)C/C=C/C)O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)NC1=O	
143-62-4	Digitoxigenin	3-[(3S,5R,8R,9S,10S,13R,14S,17R)-3,14-dihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2H-furan-5-one	MI, 13, 3184	Eur J Clin Pharmacol. 1985 28(6):649-52	22.08.1933			Not yet attributed	EtOH, CHCl3										Arrhythmia, Bradycardia, Dizziness, Tachycardia			Cardiovascular	Cardiotonic	fm@P@@HloHheeEHeEYdiLmbTd[p\eGMjZjjjjjjjjDq\ThzARTUSP@ !BbAwpXk[oeAn`JWJOLBWcA{_bBJixArgV^|ho^b}JLK~_z`}JCw~wzaB~aBho\c]rDHh@p								C[C@@](CC[C@@H]([C@H]1CC2)[C@@](C)(CC3)[C@H]2C[C@H]3O)([C@H](CC2)C(CO3)=CC3=O)[C@@]12O	
20830-75-5	Digoxin		MI, 12, 3210	Int J Cardiol. 2013 Apr 15 164(3):365-7	22.08.1933	1954	Yes	C01AA05	EtOH, Pyr	Chemical classification (according ATC code)	Digitalis glycoside		Oral	GI tract		Liver		0,25	Blurred vision, Confusion, Diarrhoea, Electrocardiogram disturbances, Gynecomastia, Hypersensitivity reactions, Nausea			Cardiovascular	Cardiotonic	enwpG@@@DKOMklRVS[_Zv|bbVTTbTTlJTfVrTRTRJbRbQTRTRHhdLBbJjfVAaeUSsZfjjjjjjjjjjjjjjjjjjjia\JRJIrQKIUIYGKz@rEThVRqUNjNIsM@@ !BnNLpNoysN\pySjoXIWcAzD_J@JqHNpgLY|h_y`ZOtHPoy_jOwh_{_JJK~pEc}VCthhfc}e|XoP~]e~_{_}JHOW{_{_muw~ou_|CuuWOR^|m}WoO\}EqWO_{@MqgO{@usw~XN_|		1 - 2	20		36	70 - 80		C[C@H]([C@H]([C@H](C1)O)O)O[C@H]1O[C@H]([C@@H](C)O[C@H](C1)O[C@H]([C@@H](C)O[C@H](C2)O[C@@H](CC3)C[C@@H](CC4)[C@@]3(C)[C@@H](C[C@H]([C@]3(C)[C@H](CC5)C(CO6)=CC6=O)O)[C@@H]4[C@]35O)[C@H]2O)[C@H]1O	
25316-40-9	Doxorubicin hydrochloride	(1S,3S)-3-Glycoloyl-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1,2,3,4,6,11-hexahydro-1-tetracenyl 3-amino-2,3,6-trideoxy-alpha-L-lyxo-hexopyranoside hydrochloride	MI, 12, 3495	J Pharm Pharmacol. 2013 Feb 65(2):157-70	29.06.1971	1966	Yes	L01DB01	H2O, MeOH	Chemical classification (according ATC code)	Anthracycline		Parenteral						Amenorrhoea, Bone marrow suppression, Diarrhoea, Hair loss, Immunodepressor, Tachycardia, Vomiting	DNA, RNA		Infectiology, Oncology	Antibacterial, Antineoplastic, Immunosuppressant	ea]XMH@FXIKDlnmkol^PHc@eEEEEEEhdeeFmEMDlhlIhXEyTMLbRt@QDAMEUUSUUTELQRZKJEHpe@@ !Bsew~[GwZ@mj}q_yl@lW~[OxS]hBVkuZaLBv`IZfr}q_x\fsdv_yloUk~_wZRVR~tflGSTbno{CknNCIlJEHhVQ{O{Cpck~p|JE					36			C[C@@H]([C@H]([C@H](C1)N)O)O[C@H]1O[C@@H](C[C@@](C1)(C(CO)=O)O)c(c(O)c2C(c(c3ccc4)c4OC)=O)c1c(O)c2C3=O.Cl	
22232-54-8	Carbimazole	ethyl 3-methyl-2-sulfanylideneimidazole-1-carboxylate	MI, 13, 1807	Clin Endocrinol (Oxf). 1979 Jun 10(6):655-64	02.03.1954			H03BB01	EtOH, CHCl3, CH3COCH3	Chemical classification (according ATC code)	Sulfur-containing imidazole derivative		Oral			Liver	Methimazole	15	Arthralgia, Epigastric misery, Fever, Headache, Hepatotoxicity, Hypothyroidism, Myalgia, Nausea, Rash, Taste alteration	Enzyme	Thyroid peroxidase	Metabolism	Antihyperthyroid	dcMD`DpY@HrJJJJMTsUTuH@@ !Bs`BHOntt@wYPCJPO}dN_y`ldHtXs@					4 - 12		0.53	CCOC(N(C=CN1C)C1=S)=O	
34552-84-6	Isoxicam	4-Hydroxy-2-methyl-N-(5-methyl-3-isoxazolyl)-2H-1,2-benzothiazine-3-carboxamide 1,1-dioxide	MI, 12, 5258	Clin Rheum Dis. 1984 Aug 10(2):385-99	28.11.1972	Withdrawn		Not yet attributed	DMSO				Oral						Epigastric misery, Hypersensitivity reactions			Central Nervous System, Metabolism	Analgesic, Anti-inflammatory, Antipyretic	fnsqR@L^SAEgE@DYIHXhideE]DmrQ`ejmTCALSSQ@@@ !BTyALlO_}BOw~_w_|gpOA}]wwp_Pc}c~Oy]|B@KWW\RLU~Kf{|YkX|		3.4			27.1		0.17	Cc1cc(NC(C(N(C)S(c2c3cccc2)(=O)=O)=C3O)=O)no1	
481-29-8	Epiandrosterone	(3S,5S,8R,9S,10S,13S,14S)-3-hydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,14,15,16-tetradecahydrocyclopenta[a]phenanthren-17-one	MI, 12, 3646	Steroids. 2012 Jan 77(1-2):10-26	26.02.1957			Not yet attributed	CHCl3, MeOH										Hair loss, Weight gain			Endocrinology	Anabolic	fjc@`@@ErJJQIFYJSKXgIJlyNVjjjjjjjnHQHJJQdzYP@ !Bjf~`iQNgc~h@`f@kJ^HwXb}J@K~_|b}rMw~wt`B`CpoXb}JHJHOP								C[C@](CC1)([C@@H](CC2)[C@H](CC3)[C@H]1[C@@](C)(CC1)[C@@H]3C[C@H]1O)C2=O	
50-28-2	Estradiol-17 beta	(8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol	MI, 12, 3746	Neuroscientist. 2009 Dec 15(6):599-610	25.02.1941	1988	Yes	G03CA03	EtOH				Oral					2	Breast pain, Headache, Menstrual disturbances, Nausea, Oedema, Weight gain, Weight loss	Nuclear receptor	Estrogen receptor	Endocrinology	Antigonadotropin	fb}@`@@YRYVum[ehrRkNBf@BjjjjJjBRhZNPT@ !BMzHWo_z`MtKW`oz`Uwuw`c^Be{w~@C^BM|K~`NeGskqHANXeQ@		5.8						C[C@](CC1)([C@@H](CC2)[C@H](CC3)[C@H]1c(cc1)c3cc1O)[C@H]2O	
105538-73-6	Gabazine bromide	4-[6-imino-3-(4-methoxyphenyl)pyridazin-1-yl] butanoic acid hydrobromide		J Cell Physiol. 2010 Mar 222(3):713-28	18.02.1993	Preclinical		Not yet attributed	H2O	Pharmacological tool									Seizure			Central Nervous System	CNS Stimulant	ffmqbBNBuCAPX`NyNAJYIQJJFYKHsdyZj@b@@h@@@ !BfXwOtn]SLT@olcD@swIgDsF@cwIXkLRI~Lq`Dxs}IgDv]Ss{JgT||r								COc(cc1)ccc1-c1ccc(N)[n+](CCCC(O)=O)n1.[Br-]	
6202-23-9	Cyclobenzaprine hydrochloride	3-(dibenzo[1,2-a:1',2'-e][7]annulen-11-ylidene)-N,N-dimethylpropan-1-amine hydrochloride	MI, 12, 2782	Clin Ther. 1988 10(2):216-28	05.11.1968	1977	Yes	M03BX08	H2O, EtOH, MeOH				Oral	GI tract	Plasmatic proteins	Liver			Dizziness, Drowsiness, Epigastric misery, Irritability, Memory loss, Mouth dryness, Nausea, Upper respiratory tract infection			Neuromuscular	Muscle relaxant	ff}`B@H@bLBdQRbbbbTVKhaKfmUM@DD@H@@@ !B~Z]H@k_|g~pBc|`AOhkCbVPC[rt[@qNoL~N~ZGyhKvFBZHIj{ZtQk			85 - 100	33 - 55	18			CN(C)CCC=C1c(cccc2)c2C=Cc2c1cccc2.Cl	
51781-21-6	Carteolol hydrochloride	5-[3-(tert-butylamino)-2-hydroxypropoxy]-3,4-dihydro-1H-quinolin-2-one hydrochloride	MI, 13, 1881	Drugs Aging. 2007 24(6):509-28	06.12.1973	1980	Yes	C07AA15		Therapeutic classification (according ATC code)	Non-selective beta-blocking agent		Oral, Ocular	Eye, Systemic circulation				10	Asthenia, Blurred vision, Bradycardia, Bronchospasm, Epigastric misery, Hypoglycemia, Hypotension, Insomnia, Nausea, Nightmare, Occular irritation, Raynaud's syndrome	GPCR	Adrenergic receptor beta	Cardiovascular, Ophthalmology	Antiglaucoma, Antihypertensive	ffmQb@LQakpHaAYVuo[Vf\TYj`BJjjh`x`@ !BcxdHwPa|_g|Ho_B}og|HHb}bGu~Oxa|bKvH_Gx@bKtH_Hc]bHI~_pb}								CC(C)(C)NCC(COc1cccc(N2)c1CCC2=O)O.Cl	
