Structure [idcode]	m	Value	Unit	Type	Ligand Efficiency	Binding Efficiency	Surface Efficiency	Assay Category	Assay Organism	Target Name	Target Organism	Target Description	Sequence Accession	Reference	Pubmed ID	DOI	pValue	Ring Systems [idcode]	Ring Systems 3 [idcode]	Murcko Frequency	Row-ID	Neighbor Similarity SkelSpheres 88%	Neighbor Count	Neighbor	Neighbor Analysis X	Neighbor Analysis Y	SALI pValue/SkelSpheres	Smiles	
ea[VBH@LBJfk`[CgdP@cIEEDdediddleDdhcheeHQQpHhXdUl|ccSAPQAAEUTuMMUHT@@@ !BXDWA`LsGGN`PJomtDJi`qQ[@elChXp]tu{s~_t`Bm{vH_Ta}u{qH@g^}RGvA_u]|R@JwOW^}hAH_]]|zNr~`I@UXEkLVHAA_LaBmpC~	=	1.6<NL>1.6<NL>1.6<NL>1.6<NL>1.3<NL>3.7<NL>7.1<NL>8.8<NL>2.2<NL>4.1<NL>5.1	nM	Kd	0.30<NL>0.30<NL>0.30<NL>0.30<NL>0.30<NL>0.29<NL>0.28<NL>0.28<NL>0.30<NL>0.29<NL>0.28	15.69<NL>15.69<NL>15.69<NL>15.69<NL>15.85<NL>15.04<NL>14.53<NL>14.37<NL>15.44<NL>14.96<NL>14.79	6.55<NL>6.55<NL>6.55<NL>6.55<NL>6.61<NL>6.27<NL>6.06<NL>5.99<NL>6.44<NL>6.24<NL>6.17	<NL><NL><NL><NL><NL><NL><NL><NL><NL><NL>		Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 52 (23), 7808-7816 (2009)<NL>Blood 114 (14), 2984-2992 (2009)<NL>Blood 114 (14), 2984-2992 (2009)<NL>J. Med. Chem. 53 (19), 6779-6810 (2010)<NL>Nat. Biotechnol. 29 (11), 1046-1051 (2011)<NL>Nat. Biotechnol. 29 (11), 1046-1051 (2011)<NL>Nat. Biotechnol. 29 (11), 1046-1051 (2011)<NL>Nat. Biotechnol. 29 (11), 1046-1051 (2011)<NL>Nat. Biotechnol. 29 (11), 1046-1051 (2011)<NL>Nat. Biotechnol. 29 (11), 1046-1051 (2011)<NL>Nat. Biotechnol. 29 (11), 1046-1051 (2011)	19754199<NL>19654408<NL>19654408<NL>20925433<NL>22037378<NL>22037378<NL>22037378<NL>22037378<NL>22037378<NL>22037378<NL>22037378		8.453681751710832	ebYVBH@LBJfk`[CgdP@cIEEDdediddleDdhchdQQpHhXdUl|ccSAPQAAEUTuMLaP@@	elQP@@@LdbbRRrRfRRrTRRJbRxTDdL\RJVvaQjjjjjjjjjjjjj`@@	3.0	189	0.9974; 1; 0.8962; 0.87207; 0.87186; 0.89382	6	599; 230; 191; 190; 187; 188	-0.90607977	0.025896026	496.4; 0; 4.1655; 2.6749; 2.0881; 1.0827	CC(C)(C)c1cc(NC(Nc(cc2)ccc2-c2cn(c(ccc(OCCN3CCOCC3)c3)c3s3)c3n2)=O)no1	
eob^@H@COJnmcg`@cIEEDeMhlhkEDdeL\FAMG@oHfnimjBP@`biBBJhF@@@ !BFILZXA`lCc~Sf@C~LHtpcQhPWqfNwsBrRxSKQME@wyg|rE~YgxYnO}tH`u_O][^o}zygtOWWP`_Q[f_	=	5900	nM	IC50	0.23	12.29	3.74			Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. Lett. 20 (1), 334-337 (2010)	19926477		5.229147988357855	em`Z@H@COJne`@cIEEDeMhlhkEDelFAMG@oHfniejBP@`biB@`X@@@	em`P@@@LdbbbTRRjTRTQVDdTtLlrJjzfVjjjjjjjjjjh@@	3.0	192	1; 0.9499	2	473; 451	0.4247843	-0.37784523	0; 13.39	NCCn1c2cnc(N)nc2c(-c2cc(-c3cc(cccc4)c4s3)c3[nH]ncc3c2)c1	
ffspb@EF}iHJsHhdihdhUDdmS`eNBVl@PuSTHA@@@ !BV]~DJq}eVU}YWvqgGzUSYp@A@W~ZGrsgsIa`ffU`XNVH_QRDbOrH@hc}	=	418	nM	IC50	0.40	15.82	7.85			Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. Lett. 20 (6), 2033-2037 (2010)	20153646		6.378823718224964	fduP@@@NRfYV~]|LEhs`qhIBPHBH@@	fdu@@@LdbbbTqVRUNBtZpXuUUUUUU@@@	3.0	202	0.90846; 0.89051	2	207; 206	-0.7289461	0.6294503	12.045; 7.5698	Oc([nH]c(cc1)c2cc1I)c2-c([nH]c1c2cccc1)c2N=O	
fa{HPBHF]DBKEaJNrJZIJZIJEQIK\dhpTmzt@PuSTHA@@@ !BYyMOtdzLLwgT|ySghdv^SYY|@_aj_KJ_LYzshXNkeXFBerGuTaH`Bb@JH@p	=	62	nM	IC50	0.41	22.36	5.67			Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. Lett. 20 (6), 2033-2037 (2010)	20153646		7.207608310501745	fduP@@@NRfYV~]|LEhs`qhIBPHBH@@	fdu@@@LdbbbTqVRUNBtZpXuUUUUUU@@@	3.0	206	0.87695; 0.89051	2	207; 202	-0.7204696	0.6654033	2.2257; 7.5698	[O-][N+](c(cc1)cc2c1[nH]c(O)c2-c([nH]c1c2cccc1)c2N=O)=O	
fjcp`@HT\BvQJJJZIJJJkTxZKoYJsTCAP@DP@@ !BR{nZGqOgXFTliw~og~HENXTv_H_Xc}ff@_yV}ZIe~H@klkvzlfWp	=	33	nM	IC50	0.49	26.98	9.21			Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. Lett. 20 (6), 2033-2037 (2010)	20153646		7.481486060122112	fduP@@@NRfYV~]|LEhs`qhIBPHBH@@	fdu@@@LdbbbTqVRUNBtZpXuUUUUUU@@@	3.0	207	0.90846; 0.87695	2	202; 206	-0.7692511	0.5768081	12.045; 2.2257	Oc([nH]c1c2cccc1)c2-c([nH]c1c2cccc1)c2N=O	
fcxB@LDD{s]`BLdTTrbRQaTRVTRVFV\Vj}ttpTAP@UUPP@@ !BFnBXdxC~dy`A_ybltc@w_Ta}xFVSfOyg~H_S]}MpHw_Wz@MpHwOz@upHw_Wz@MpJw@oz@	=	16	nM	IC50	0.38	19.71	7.34			Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 53 (18), 6618-6628 (2010)	20722422		7.795880017344074	fa{XB@JLUiOPAFRJIPiPjIKJIHeIJCEoZe@B`@jj``@@	fa{@@@DjYU_vUnwbiZceoZjjjjjjjj`@@	3.0	229	0.96297; 0.91635	2	525; 468	0.13803135	0.12015176	34.998; 15.491	CCNc1nc(C)c(-c2nc(Nc(cc3)ccc3N3CCNCC3)ncc2)s1	
ea[VBH@LBJfk`[CgdP@cIEEDdediddleDdhcheeHQQpHhXdUl|ccSAPQAAEUTuMMUHT@@@ !BXDWA`LsGGN`PJomtDJi`qQ[@elChXp]tu{s~_t`Bm{vH_Ta}u{qH@g^}RGvA_u]|R@JwOW^}hAH_]]|zNr~`I@UXEkLVHAA_LaBmpC~	=	4.2<NL>2<NL>69<NL>120	nM	IC50	0.29<NL>0.30<NL>0.24<NL>0.24	14.94<NL>15.52<NL>12.77<NL>12.34	6.23<NL>6.47<NL>5.33<NL>5.15	<NL><NL><NL>	Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Blood 114 (14), 2984-2992 (2009)<NL>Blood 114 (14), 2984-2992 (2009)<NL>Bioorg. Med. Chem. Lett. 22 (14), 4654-4659 (2012)<NL>Bioorg. Med. Chem. Lett. 24 (12), 2655-2660 (2014)	19654408<NL>19654408<NL>22726931<NL>24813730		7.311580184787052	ebYVBH@LBJfk`[CgdP@cIEEDdediddleDdhchdQQpHhXdUl|ccSAPQAAEUTuMLaP@@	elQP@@@LdbbRRrRfRRrTRRJbRxTDdL\RJVvaQjjjjjjjjjjjjj`@@	3.0	230	0.9974; 0.87186; 0.89382; 1; 0.87207; 0.8962	6	599; 187; 188; 189; 190; 191	-0.8616066	-0.07795159	57.772; 11.001; 11.839; 0; 11.602; 15.169	CC(C)(C)c1cc(NC(Nc(cc2)ccc2-c2cn(c(ccc(OCCN3CCOCC3)c3)c3s3)c3n2)=O)no1	
ebQQDH@LHljnmkdXD@@cIIBhhddmCLleDeDXdmhyXEdTmmBbmP@@DMM@AUUPQ@@@ !Bo]\Bus\BR@Hw_PF@rGtw@oyR@IH`k^}MuH_S\Bg|q`L~MWr[KaK~_S\BMs}~_S]}u{~@c^_gtwoT`k~_Tb`	=	6	nM	IC50	0.31	16.29	6.45			Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. 19 (14), 4173-4182 (2011)	21708468		8.221848749616356	edVQDH@LHljnmchXD@@cIIBhhddmCLleDdmDehyXEdTmlCBmP@@DMM@AUTDP@@	e`RP@@@LdbbRRfNbRtRTJTRWBda`TSWSwuUUUUUUUUUUUP@@	3.0	257	0.95752; 0.95893	2	259; 258	-0.16947542	-0.24666159	21.678; 31.681	Cc1nc(N2CCN(C)CC2)cc(Nc2cc(-c3cccc(NS(c4ccccc4)(=O)=O)c3)n[nH]2)n1	
ejYQDH@LDbfacglXD@@cIIBhhddiiYedhdhcDemGKHbjmcd\Uj@@@hZZ@Bjj`b@@@ !Bo]\Bus\BR@Hw_PF@rGtw@oyR@IH@c^}MuH__z@MpK~_sF@sxu_IlnDoy}MpHwOwy}MwwWoxBM{}~_S^}RC~oy}RK~	=	120	nM	IC50	0.26	13.34	5.43			Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. 19 (14), 4173-4182 (2011)	21708468		6.920818753952375	edVQDH@LHljnmchXD@@cIIBhhddmCLleDdmDehyXEdTmlCBmP@@DMM@AUTDP@@	e`RP@@@LdbbRRfNbRtRTJTRWBda`TSWSwuUUUUUUUUUUUP@@	3.0	258	0.90274; 0.89005; 0.95893	3	259; 251; 257	-0.05479046	-0.18751	3.9092; 11.224; 31.681	Cc1cccc(S(Nc2cc(-c3n[nH]c(Nc4nc(C)nc(N5CCN(C)CC5)c4)c3)ccc2)(=O)=O)c1	
efUQLH@LHljnmkdXDJP@cIIBhhddmCLleDeDXdlehyXEdTmmBbmP@@DMM@AUUUAD@@@ !Bo]\Bus\BR@Hw_PF@rGtw@oyR@IH@k^}MuH_S\Bg|q`L~MWr[KaK~_S\BMs}~_S]}u{~@c^_gtwoT`k~_Tbgtwox	=	50	nM	IC50	0.26	13.66	4.94			Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. 19 (14), 4173-4182 (2011)	21708468		7.30102999566398	edVQDH@LHljnmchXD@@cIIBhhddmCLleDdmDehyXEdTmlCBmP@@DMM@AUTDP@@	e`RP@@@LdbbRRfNbRtRTJTRWBda`TSWSwuUUUUUUUUUUUP@@	3.0	259	0.95752; 0.90274	2	257; 258	-0.09261442	-0.24326853	21.678; 3.9092	Cc1nc(N2CCN(CCO)CC2)cc(Nc2cc(-c3cccc(NS(c4ccccc4)(=O)=O)c3)n[nH]2)n1	
ek`QD@@JG@hdjfc`MDiWYVwYU[WRJECDliejj`BJff`@nH@@@ !B`k]|RH@A@@E|R@@A_DbBmxBA`@G|RDJw@HD@@XIwiQ~@_a`Szn}~ovBebKtwWz_k|wWy_g|	=	22	nM	Ki	0.36	19.51	6.02		Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 54 (20), 7184-7192 (2011)	21970471		7.6575773191777925	fa{Y@@JF]xNPIRnrnlkriJJtFK^uU@ASS@AD@@@	fa{@@@DjYU_vUyWbiZCEoZjjjjjjjj`@@	3.0	273	0.86904; 0.86904	2	341; 270	-0.33468145	0.3777052	1.6332; 4.3088	COc(cc(cc1)N2CCOCC2)c1Nc(nc1N)nn1-c(cc1)ncc1C#N	
figy@@JF]xNR`Re]e]YU[TeEZCGhzj`@iih@H`@@ !B`k]|RH@A@@E|RHBA`k]|RH@A`HG|R@@A`g^eGxA~FAOj{wzXJVHoS_}_k}~os_}	=	5	nM	Ki	0.45	24.60	8.82		Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 54 (20), 7184-7192 (2011)	21970471		8.301029995663981	fa{Y@@JF]xNPIRnrnlkriJJtFK^uU@ASS@AD@@@	fa{@@@DjYU_vUyWbiZCEoZjjjjjjjj`@@	3.0	274	1; 0.90243; 0.88896; 0.88896; 0.90243	5	343; 342; 341; 270; 271	-0.40995237	0.1957686	0; 7.5061; 7.721; 0.7131; 3.8967	Nc1nc(Nc(cc2)ccc2N2CCOCC2)nn1-c1ncccc1	
